Step Volume Temp Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1381600.00 48031.5352 201.673050 3776.14746 2461.70532 1974.37183 7081.23291 1919.87585 -24.0663662 -8.08784199 269.539520 -190.977142
1381800.00 48031.5352 200.885818 4199.36768 2452.09619 2012.54712 7406.26123 1944.38721 -10.2393227 -8.08784199 269.508087 -191.108856
1382000.00 48031.5352 198.553864 3651.46875 2423.63135 1926.87866 6908.33008 1878.15161 -29.4667072 -8.08784199 269.423065 -191.229172
1382200.00 48031.5352 203.626587 4202.57373 2485.55103 1966.46057 7395.87549 1916.91821 -28.3097649 -8.08784199 269.125061 -191.272873
1382400.00 48031.5352 198.426254 4806.57812 2422.07373 1959.86328 7748.89990 1897.35144 -14.7855120 -8.08784199 268.779694 -191.482300
1382600.00 48031.5352 197.445114 3609.35620 2410.09766 1991.57214 6929.98975 1945.58093 -31.0207653 -8.08784199 268.482880 -191.470947
1382800.00 48031.5352 201.897781 2853.02173 2464.44849 1987.21680 6450.18018 1927.53735 -16.5488625 -8.08784199 267.862427 -191.634247
1383000.00 48031.5352 196.882782 3222.38037 2403.23340 1980.77197 6641.25293 1952.77930 -48.3890228 -8.08784199 268.018280 -191.636627
1383200.00 48031.5352 202.445312 3886.51392 2471.13208 1988.45850 7182.05713 1933.39709 -21.9079704 -8.08784199 268.519989 -191.550644
1383400.00 48031.5352 200.430679 2774.66162 2446.54053 2006.21216 6396.37695 1949.20972 -19.8736401 -8.08784199 268.419312 -191.543304
1383600.00 48031.5352 198.104797 3274.84839 2418.14966 1984.02979 6696.18018 1922.29895 -15.7020569 -8.08784199 268.866119 -191.433304
1383800.00 48031.5352 200.690063 3258.86108 2449.70679 2006.77466 6739.28320 1949.80334 -20.6392555 -8.08784199 268.990112 -191.379456
1384000.00 48031.5352 200.003586 3386.61182 2441.32739 1968.07190 6781.68896 1918.23547 -27.3794403 -8.08784199 268.692749 -191.476990
1384200.00 48031.5352 197.521606 3301.46069 2411.03101 1962.11121 6685.78467 1914.46484 -29.4634743 -8.08784199 268.700684 -191.590942
1384400.00 48031.5352 203.787277 3917.92773 2487.51245 1970.56689 7202.55127 1915.42004 -21.4458752 -8.08784199 268.214752 -191.622025
1384600.00 48031.5352 200.718018 3946.58423 2450.04761 1970.18005 7184.77344 1913.34412 -20.2456322 -8.08784199 268.755585 -191.674042
1384800.00 48031.5352 197.960236 2739.52075 2416.38501 1973.88965 6309.28369 1926.64282 -30.4965210 -8.08784199 269.277893 -191.534515
1385000.00 48031.5352 196.687927 2521.67456 2400.85498 1981.92566 6149.18994 1940.84485 -36.4106407 -8.08784199 268.916260 -191.424942
1385200.00 48031.5352 202.889145 3007.17749 2476.54956 2000.62805 6583.67725 1933.05225 -10.1364489 -8.08784199 269.049011 -191.336700
1385400.00 48031.5352 200.760635 2766.51660 2450.56812 1979.72131 6368.20850 1902.36145 -0.882978559 -8.08784199 269.480011 -191.237045
1385600.00 48031.5352 201.428635 2552.17212 2458.72192 1959.88965 6206.38428 1904.68164 -22.7299461 -8.08784199 269.303558 -191.365677
1385800.00 48031.5352 201.808533 3690.59155 2463.35913 1956.96582 7005.54980 1904.35950 -25.0868492 -8.08784199 269.108307 -191.415115
1386000.00 48031.5352 201.189072 4715.33105 2455.79761 1990.19470 7749.03760 1920.99792 -8.15067196 -8.08784199 268.974152 -191.626694
1386200.00 48031.5352 201.782333 3177.13208 2463.03931 1940.78442 6629.37500 1895.34058 -32.0941849 -8.08784199 269.011902 -191.473907
1386400.00 48031.5352 196.219543 2382.81372 2395.13745 1979.32874 6043.60498 1920.72119 -18.9036121 -8.08784199 268.874847 -191.363831
1386600.00 48031.5352 200.688477 3364.94507 2449.68701 1977.98193 6784.78174 1906.86218 -7.12564278 -8.08784199 269.579895 -191.334625
1386800.00 48031.5352 201.544586 2698.34229 2460.13745 1937.97192 6288.27295 1895.14246 -35.2422981 -8.08784199 269.375397 -191.303711
1387000.00 48031.5352 194.239395 1953.85828 2370.96729 1953.53125 5693.15771 1891.04089 -14.6952591 -8.08784199 268.602203 -191.416656
1387200.00 48031.5352 202.653381 2376.41602 2473.67163 1977.27917 6115.60791 1920.44824 -21.2048111 -8.08784199 269.277161 -191.241425
1387400.00 48031.5352 200.337082 3262.79712 2445.39795 1950.92786 6681.88477 1891.42163 -18.6925125 -8.08784199 269.301300 -191.102432
1387600.00 48031.5352 198.358047 2724.58374 2421.24097 1979.63782 6309.42432 1916.43872 -15.9341078 -8.08784199 270.030609 -190.897446
1387800.00 48031.5352 201.540604 1638.39746 2460.08862 1996.47144 5604.24219 1951.32715 -33.8035698 -8.08784199 269.762451 -190.814590
1388000.00 48031.5352 199.410812 2888.72461 2434.09155 1947.82263 6405.43848 1877.84363 -9.41683483 -8.08784199 270.052521 -190.656677
