Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul c_lj c_coul
566400.000 51006.1797 199.458084 2068.43530 2434.66870 2932.16089 5366.82959 6905.48242 -1421.56360 -45.3161812 9244.72070 -6816.32275 0.550000012 0.595000029 0.354025006 -1376.24744 9244.72070
566600.000 51006.1797 198.610062 2121.43237 2424.31738 2940.77563 5365.09277 6943.16846 -1377.63013 -45.3161812 9230.21094 -6818.34717 0.550000012 0.595000029 0.354025006 -1332.31384 9230.21094
566800.000 51006.1797 203.501053 2937.62378 2484.01880 2957.82568 5441.84473 7627.06299 -1379.07581 -45.3161812 9227.53613 -6821.07324 0.550000012 0.595000029 0.354025006 -1333.75964 9227.53613
567000.000 51006.1797 197.569946 3658.89429 2411.62109 2917.69824 5329.31934 8051.07129 -1417.98560 -45.3161812 9235.75879 -6819.46973 0.550000012 0.595000029 0.354025006 -1372.66943 9235.75879
567200.000 51006.1797 199.609863 2473.10986 2436.52124 2922.88281 5359.40430 7199.08301 -1408.70203 -45.3161812 9233.62402 -6814.56055 0.550000012 0.595000029 0.354025006 -1363.38574 9233.62402
567400.000 51006.1797 202.826080 1981.07434 2475.77979 2960.28516 5436.06494 6909.73242 -1392.05225 -45.3161812 9227.01465 -6818.27246 0.550000012 0.595000029 0.354025006 -1346.73596 9227.01465
567600.000 51006.1797 195.732544 1832.62158 2389.19312 2918.28223 5307.47559 6670.71289 -1393.64441 -45.3161812 9230.34180 -6819.03320 0.550000012 0.595000029 0.354025006 -1348.32825 9230.34180
567800.000 51006.1797 199.197708 1818.75903 2431.49023 2962.58911 5394.07959 6747.00488 -1390.26245 -45.3161812 9223.00586 -6822.12354 0.550000012 0.595000029 0.354025006 -1344.94629 9223.00586
568000.000 51006.1797 201.450043 1805.73596 2458.98340 2904.84570 5363.82910 6707.06689 -1402.28845 -45.3161812 9226.52148 -6821.04883 0.550000012 0.595000029 0.354025006 -1356.97229 9226.52148
568200.000 51006.1797 198.762939 1747.57861 2426.18335 2907.51172 5333.69531 6633.67139 -1413.09949 -45.3161812 9227.97852 -6821.86621 0.550000012 0.595000029 0.354025006 -1367.78345 9227.97852
